<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABS,20221207,6.7000,6.8000,6.3600,6.3600,1485900
ABS,20221208,6.4400,6.6700,6.3500,6.4000,1346100
ABS,20221209,6.5000,6.5400,6.3000,6.3800,758000
ABS,20221212,6.3700,6.7900,6.3700,6.4300,1395900
ABS,20221213,6.4400,6.6000,5.9800,6.2000,1292600
ABS,20221214,6.4500,6.4500,6.2000,6.3900,961600
ABS,20221215,6.3800,6.4800,6.2500,6.3800,477200
ABS,20221216,6.2800,6.4500,6.2100,6.3800,783900
ABS,20221219,6.4000,6.6500,6.3900,6.4000,1281600
ABS,20221220,6.3600,6.4300,5.9800,5.9800,1183000
ABS,20221221,6.3600,6.3600,5.5700,5.7000,1299800
ABS,20221222,5.7500,5.9900,5.5400,5.7500,646300
ABS,20221223,5.6100,5.7000,5.5400,5.6100,272100
ABS,20221226,5.6100,5.6100,5.2500,5.2500,617900
ABS,20221227,5.1600,5.4000,5.1500,5.4000,618200
ABS,20221228,5.4900,5.5500,5.3500,5.5200,407600
ABS,20221229,5.2600,5.5100,5.1400,5.3500,418200
ABS,20221230,5.4700,5.4700,5.2000,5.2200,555400
ABS,20230103,5.2400,5.5800,5.2200,5.5800,641500
ABS,20230104,5.6000,5.7500,5.6000,5.6700,719800
ABS,20230105,5.7300,5.7600,5.5500,5.6900,428100
ABS,20230106,5.6500,5.7200,5.5200,5.5500,444500
ABS,20230109,5.5700,5.6400,5.5300,5.5600,209200
ABS,20230110,5.6200,5.6200,5.5300,5.5800,387700
ABS,20230111,5.6100,5.7400,5.5800,5.7000,456800
ABS,20230112,5.7900,5.7900,5.6000,5.6400,219700
ABS,20230113,5.6400,5.7000,5.5300,5.5300,375000
ABS,20230116,5.5300,5.6400,5.5300,5.5500,331700
ABS,20230117,5.5900,5.6300,5.5500,5.6100,470700
ABS,20230118,5.7500,5.7700,5.6600,5.7400,520800
ABS,20230119,5.7400,5.8900,5.7400,5.8000,625000
