<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FPT,20220216,74.8543,75.5073,74.5277,74.5277,614200
FPT,20220217,75.0175,75.7522,74.2828,75.7522,853700
FPT,20220218,75.3441,75.5073,74.8543,75.2624,618800
FPT,20220221,75.2624,76.7317,75.0991,76.3236,1386000
FPT,20220222,75.9155,76.1603,75.0992,75.8338,1158200
FPT,20220223,75.5889,76.6501,75.5889,75.9154,973800
FPT,20220224,75.9154,76.3235,73.4665,75.0991,1349600
FPT,20220225,75.4256,76.2419,75.1807,75.3440,1059900
FPT,20220228,75.3440,76.3236,75.3440,76.1603,1504600
FPT,20220301,76.7317,76.7317,75.5073,76.2419,1101900
FPT,20220302,75.9154,76.2419,75.6705,75.9970,1088900
FPT,20220303,76.0786,76.7317,76.0786,76.2419,957600
FPT,20220304,76.1603,76.5684,75.9154,76.3236,1343800
FPT,20220307,75.9971,76.6501,75.2624,76.5685,1698000
FPT,20220308,76.5685,77.8746,75.5889,77.3847,2227500
FPT,20220309,77.2214,78.7724,77.2214,77.9562,2204000
FPT,20220310,78.6092,78.6092,77.2215,77.2215,778700
FPT,20220311,77.1399,77.2215,75.6705,76.0787,1139000
FPT,20220314,75.9154,75.9154,73.8747,74.9359,1943000
FPT,20220315,74.9359,74.9359,73.3033,74.2828,1872000
FPT,20220316,74.3644,75.3440,73.8747,74.7726,1139600
FPT,20220317,74.9359,75.6705,74.6910,75.0991,1180600
FPT,20220318,75.9154,78.8541,75.9154,77.6296,2815100
FPT,20220321,77.7112,78.3643,77.5480,77.7929,1560700
FPT,20220322,78.3643,79.1806,77.8745,78.6908,2079200
FPT,20220323,78.7724,79.5887,78.3643,78.7724,1975800
FPT,20220324,78.3643,79.3438,77.7928,78.3643,1823700
FPT,20220325,78.4459,78.7724,78.0378,78.1194,1228100
FPT,20220328,77.9561,80.5683,77.7113,80.0785,3501600
FPT,20220329,80.4866,85.6293,80.4866,85.6293,8224300
FPT,20220330,86.3640,87.5884,85.3028,86.5273,2830700
FPT,20220331,86.1192,90.2823,85.3845,87.3435,3472300
FPT,20220401,87.2619,90.6087,86.6088,90.6087,4317300
FPT,20220404,92.6494,92.6494,89.2210,89.2210,2687800
FPT,20220405,89.0577,91.0985,88.9761,88.9761,1863900
FPT,20220406,88.4863,93.0576,88.4863,92.2413,4179000
FPT,20220407,92.8127,95.4248,91.5066,92.4862,3915200
FPT,20220408,92.4862,92.9760,88.5680,88.5680,4069700
